,summary,config,name
0,"{'_runtime': 665.9177887439728, '_timestamp': 1698963606.9365706, 'bleu': 0.06865890479690394, '_step': 0, '_wandb': {'runtime': 665}}","{'percentage': 0.9, 'pruningType': 'random_layerwise'}",smooth-rain-75
1,"{'bleu': 0.06493358309501977, '_step': 0, '_wandb': {'runtime': 667}, '_runtime': 668.3188679218292, '_timestamp': 1698962931.127368}","{'percentage': 0.9, 'pruningType': 'random'}",iconic-hill-74
2,"{'bleu': 0.15259641409754898, '_step': 0, '_wandb': {'runtime': 685}, '_runtime': 686.2342610359192, '_timestamp': 1698962251.348975}","{'percentage': 0.8, 'pruningType': 'random_layerwise'}",pretty-pond-73
3,"{'_wandb': {'runtime': 686}, '_runtime': 687.2883319854736, '_timestamp': 1698961555.705469, 'bleu': 0.12230667129473256, '_step': 0}","{'percentage': 0.8, 'pruningType': 'random'}",morning-snow-72
4,"{'bleu': 8.0325741619174e-05, '_step': 0, '_wandb': {'runtime': 677}, '_runtime': 678.0704386234283, '_timestamp': 1698960858.0101857}","{'percentage': 0.7, 'pruningType': 'random_layerwise'}",dazzling-sea-71
5,"{'_wandb': {'runtime': 675}, '_runtime': 676.5630440711975, '_timestamp': 1698960171.03052, 'bleu': 0.014886425442142024, '_step': 0}","{'percentage': 0.7, 'pruningType': 'random'}",trim-music-70
6,"{'bleu': 0.0004414017038126775, '_step': 0, '_wandb': {'runtime': 74}, '_runtime': 75.15612721443176, '_timestamp': 1698959484.7971632}","{'percentage': 0.6, 'pruningType': 'random_layerwise'}",light-cloud-69
7,"{'bleu': 0.020751181117951756, '_step': 0, '_wandb': {'runtime': 673}, '_runtime': 674.3852806091309, '_timestamp': 1698959969.3564987}","{'percentage': 0.9282649674963068, 'pruningType': 'class-distribution'}",decent-durian-68
8,"{'_step': 0, '_wandb': {'runtime': 663}, '_runtime': 663.7103474140167, '_timestamp': 1698959401.1058323, 'bleu': 0.0033191427669713273}","{'percentage': 0.6, 'pruningType': 'random'}",sunny-brook-67
9,"{'bleu': 0.0038543672571028417, '_step': 0, '_wandb': {'runtime': 672}, '_runtime': 673.9618439674377, '_timestamp': 1698959287.361292}","{'percentage': 0.8912410264992383, 'pruningType': 'class-distribution'}",silver-hill-66
10,"{'_step': 0, '_wandb': {'runtime': 116}, '_runtime': 117.37003660202026, '_timestamp': 1698958728.5070636, 'bleu': 0.001223216032040101}","{'percentage': 0.5, 'pruningType': 'random_layerwise'}",sunny-blaze-65
11,"{'_runtime': 85.8247058391571, '_timestamp': 1698958602.2578127, 'bleu': 0.0006119116096298392, '_step': 0, '_wandb': {'runtime': 85}}","{'percentage': 0.5, 'pruningType': 'random'}",astral-donkey-64
12,"{'bleu': 0.003677167144078697, '_step': 0, '_wandb': {'runtime': 117}, '_runtime': 118.20698308944702, '_timestamp': 1698958507.927804}","{'percentage': 0.4, 'pruningType': 'random_layerwise'}",rosy-lion-63
13,"{'_timestamp': 1698958382.0460222, 'bleu': 0.0020680418404405597, '_step': 0, '_wandb': {'runtime': 117}, '_runtime': 117.6951801776886}","{'percentage': 0.4, 'pruningType': 'random'}",fresh-cloud-62
14,"{'bleu': 0.02147536160392963, '_step': 0, '_wandb': {'runtime': 127}, '_runtime': 128.12462043762207, '_timestamp': 1698958257.2809124}","{'percentage': 0.3, 'pruningType': 'random_layerwise'}",firm-sea-61
15,"{'_step': 0, '_wandb': {'runtime': 143}, '_runtime': 143.7083294391632, '_timestamp': 1698958121.6761684, 'bleu': 0.028293234150968564}","{'percentage': 0.3, 'pruningType': 'random'}",vital-firebrand-60
16,"{'_step': 0, '_wandb': {'runtime': 648}, '_runtime': 649.8121726512909, '_timestamp': 1698958606.658069, 'bleu': 0.0017834925648514469}","{'percentage': 0.8402886830738424, 'pruningType': 'class-distribution'}",stoic-mountain-59
17,"{'_runtime': 169.52352571487427, '_timestamp': 1698957969.1590097, 'bleu': 0.11699713542864078, '_step': 0, '_wandb': {'runtime': 168}}","{'percentage': 0.2, 'pruningType': 'random_layerwise'}",fresh-brook-58
18,"{'bleu': 0.11732934949935932, '_step': 0, '_wandb': {'runtime': 170}, '_runtime': 171.2828242778778, '_timestamp': 1698957791.9919133}","{'percentage': 0.2, 'pruningType': 'random'}",classic-breeze-57
19,"{'bleu': 0.23645690069045716, '_step': 0, '_wandb': {'runtime': 176}, '_runtime': 176.66152572631836, '_timestamp': 1698957614.0429747}","{'percentage': 0.1, 'pruningType': 'random_layerwise'}",bumbling-hill-56
20,"{'bleu': 0.011795835641389866, '_step': 0, '_wandb': {'runtime': 586}, '_runtime': 588.1467678546906, '_timestamp': 1698957952.068828}","{'percentage': 0.7728482082573519, 'pruningType': 'class-distribution'}",fragrant-spaceship-55
21,"{'bleu': 0.2336394766779325, '_step': 0, '_wandb': {'runtime': 179}, '_runtime': 179.89958596229553, '_timestamp': 1698957430.454589}","{'percentage': 0.1, 'pruningType': 'random'}",cosmic-elevator-54
22,"{'bleu': 0.08569160496433358, '_step': 0, '_wandb': {'runtime': 245}, '_runtime': 247.78781127929688, '_timestamp': 1698957143.1502142}","{'percentage': 0.6869256310304234, 'pruningType': 'class-distribution'}",worldly-wildflower-52
23,"{'_runtime': 218.52464127540588, '_timestamp': 1698956596.1610153, 'bleu': 0.1172689460158629, '_step': 0, '_wandb': {'runtime': 216}}","{'percentage': 0.6623917355067864, 'pruningType': 'class-distribution'}",chocolate-wind-50
24,"{'bleu': 0.13882400910307116, '_step': 0, '_wandb': {'runtime': 210}, '_runtime': 212.2802686691284, '_timestamp': 1698956369.9267488}","{'percentage': 0.6366219999365219, 'pruningType': 'class-distribution'}",breezy-armadillo-47
