"Name","model_name","percentage","bleu"
"splendid-morning-27","model3","0.9","0.21007659095996"
"sleek-hill-26","model2","0.9","0.21043756153182888"
"playful-blaze-24","model3","0.8","0.24839811662781655"
"pretty-flower-23","model2","0.8","0.2548799954301996"
"whole-eon-21","model3","0.7","0.26265397899695725"
"pious-tree-20","model2","0.7","0.2659957216176818"
"vibrant-pond-18","model3","0.6","0.2713245913137094"
"classic-paper-17","model2","0.6","0.26887024821562644"
"absurd-firefly-15","model3","0.5","0.27121418049658563"
"classic-bush-14","model2","0.5","0.27180153104386795"
"amber-night-13","model0","0.9","0.2251672985112246"
"fragrant-sun-11","model0","0.8","0.25812371013729674"
"apricot-capybara-10","model0","0.7","0.2678161091295953"
"misunderstood-shape-9","model0","0.6","0.27304803197322214"
"comfy-glade-8","model0","0.5","0.27665225718075515"
