"Name","model_name","percentage","pruningType","bleu"
"hopeful-microwave-205","model2","0.8913076605131343","class-distribution","0.00009598302056374846"
"stellar-snowball-204","model2","0.8404259635693181","class-distribution","0.0006612682151921172"
"charmed-water-203","model3","0.928189587204538","class-distribution","0.019366172644198168"
"treasured-glade-202","model2","0.7728892796962282","class-distribution","0.018377455898252047"
"firm-dust-201","model2","0.6623389422522045","class-distribution","0.0986232368733275"
"jolly-haze-200","model2","0.6365712805416417","class-distribution","0.1193686510996536"
"playful-music-199","model3","0.8913196979161858","class-distribution","0.0017107421672466448"
"lunar-haze-198","model2","0.6095868943608328","class-distribution","0.14216938414492558"
"icy-hill-197","model2","0.5813719880343705","class-distribution","0.16701706187762513"
"magic-flower-196","model2","0.5519702478677115","class-distribution","0.19022180066224503"
"worthy-spaceship-195","model3","0.8404911098142975","class-distribution","0.0010383011104710708"
"toasty-sun-194","model2","0.5213731079186095","class-distribution","0.2106764763092462"
"neat-dew-193","model3","0.7730605083733438","class-distribution","0.026197739443260704"
"light-energy-192","model2","0.4896341278680578","class-distribution","0.2319004897493488"
"iconic-sunset-191","model3","0.6624090928108121","class-distribution","0.10827337868567329"
"lemon-shadow-190","model2","0.45681741703118506","class-distribution","0.2444793823286116"
"deft-jazz-189","model3","0.6366959375432806","class-distribution","0.13171065003308233"
"jolly-terrain-188","model2","0.4229171595840451","class-distribution","0.25423292230394284"
"rare-water-187","model3","0.6097673201548867","class-distribution","0.1566787705714494"
"bumbling-monkey-186","model2","0.3880862350537833","class-distribution","0.2617490668577243"
"gallant-snowflake-185","model3","0.5815684636991598","class-distribution","0.1705676584009258"
"rare-donkey-184","model2","0.3522274876217626","class-distribution","0.2680126269972092"
"zesty-grass-183","model3","0.552185162850284","class-distribution","0.18927203778203644"
"celestial-violet-182","model2","0.3154639061850792","class-distribution","0.27458952439290707"
"peachy-paper-181","model3","0.521636488100734","class-distribution","0.2061556807793928"
"eternal-water-180","model2","0.277892556394557","class-distribution","0.27638586199268744"
"devoted-rain-179","model3","0.48997550320853145","class-distribution","0.22110182163808095"
"earthy-moon-178","model2","0.2395785394112691","class-distribution","0.28017272784697106"
"woven-frost-177","model3","0.4571454926192235","class-distribution","0.23776154710874295"
"volcanic-dream-176","model2","0.2006427251887032","class-distribution","0.28231371976289327"
