"Name","percentage","bleu"
"lively-disco-11","0.5","0.2210074429610451"
"firm-sound-9","0.6","0.2268975709027224"
"confused-wave-7","0.7","0.22486041354629988"
"laced-jazz-5","0.8","0.22697995947031935"
"splendid-dust-3","0.9","0.21914562515489927"
"ancient-durian-4","0.91","0.2158362628485931"
"smooth-pyramid-6","0.93","0.2050746892716078"
"prime-blaze-8","0.95","0.18463332476603403"
"solar-microwave-10","0.97","0.14798296422614196"
"legendary-oath-12","0.99","0.05237606593169008"
"sleek-breeze-13","0.995","0.03751537988935577"
