"Name","className","pruning_type","dev_ppl"
"sunny-brook-105","label_smoothing","class-blind","7.423923546798455"
"neat-snow-104","attention","class-blind","48.92769455234989"
"quiet-water-103","linear2","class-blind","9.024452147603425"
"happy-snow-102","dropout","class-blind","7.423923546798455"
"laced-surf-101","softmax","class-blind","332.2586540674461"
"neat-snowball-100","decoder","class-blind","14.9461760671881"
"fluent-mountain-99","linear1","class-blind","19.473976910904305"
"giddy-wind-98","encoder","class-blind","15.017065471615547"
"cosmic-serenity-97","tgt_emb","class-blind","8.295392775563352"
"absurd-glade-96","src_emb","class-blind","18.996829415552384"
"sparkling-voice-65","label_smoothing","class-uniform","7.423923546798455"
"fast-butterfly-64","attention","class-uniform","93.24557205505089"
"exalted-bush-63","linear2","class-uniform","8.266661356844393"
"wandering-breeze-62","dropout","class-uniform","7.423923546798455"
"neat-capybara-61","softmax","class-uniform","188.62954387130569"
"rural-leaf-60","decoder","class-uniform","17.402434123316127"
"robust-music-58","label_smoothing","class-distribution","7.423923546798455"
"peachy-meadow-56","linear1","class-uniform","22.356201462084854"
"tough-cherry-54","attention","class-distribution","97.98759275400477"
"dainty-serenity-52","encoder","class-uniform","51.02666642979192"
"pretty-leaf-49","linear2","class-distribution","8.332935647025586"
"trim-glitter-48","tgt_emb","class-uniform","8.262354498634231"
"astral-wood-45","dropout","class-distribution","7.423923546798455"
"glorious-disco-44","src_emb","class-uniform","18.83847752100463"
"azure-energy-42","softmax","class-distribution","187.62398572166924"
"dainty-paper-39","decoder","class-distribution","17.683328077566717"
"efficient-wind-36","linear1","class-distribution","22.29559446925595"
"dulcet-sky-33","encoder","class-distribution","49.44981715615357"
"visionary-shape-30","tgt_emb","class-distribution","8.266429262414167"
"comic-planet-27","src_emb","class-distribution","18.482524162548867"
