"Name","percentage","pruningType","pre_bleu","post_bleu"
"still-rain-11","0.995","class-blind","0.13152608682869657","0.003944854972868662"
"chocolate-monkey-1","0.91","class-blind","0.00008144751999821358","0.25132126379885006"
"graceful-dew-5","0.95","class-blind","0.0006315224389026986","0.20738924398972783"
"prime-brook-7","0.97","class-blind","0.17958015200236965","0.130632564621463"
"ruby-aardvark-9","0.99","class-blind","0.004672495910174286","0.024015868017448157"
"morning-dragon-3","0.93","class-blind","0.0015621352261107654","0.23800656746261364"
"curious-cosmos-2","0.91","random","0.3232298503060197","0.17161351651266338"
"earthy-vortex-10","0.99","random","0.05674773954614979","0.021978497656484897"
"still-sun-12","0.995","random","0.041488865152565224","0.003789390385660718"
"pretty-water-4","0.93","random","0.2696185905908219","0.1337906393069486"
"dainty-sound-8","0.97","random","0.04933885363281902","0.04490809297815462"
"dazzling-cherry-6","0.95","random","0.0006315224389026986","0.0842927210227489"
