"Name","percentage","pre_bleu","post_bleu"
"soft-lion-10","0.5","0.2745105945632104","0.2778202099732292"
"clear-disco-8","0.6","0.2668132365325574","0.27613823217645167"
"expert-serenity-6","0.7","0.24942920494228785","0.2741170149920088"
"proud-glade-4","0.8","0.21817710804381177","0.2677751526068661"
"sage-sun-1","0.9","0.15604175323827446","0.25365576239617826"
"robust-frost-11","0.91","0.14246695205198823","0.2529711727736041"
"helpful-totem-9","0.93","0.11244502968672608","0.24362455033288613"
"drawn-microwave-7","0.95","0.05611439000050269","0.2217475231801159"
"dutiful-fog-5","0.97","0.005079016757508844","0.1873721683460481"
"effortless-armadillo-2","0.99","0.0036004411766448","0.11085647834361724"
"dulcet-dew-12","0.995","0.05753750482500548","0.07327177709611647"
