"Name","className","pruning_type","dev_ppl"
"worldly-dew-24","label_smoothing_loss","obd","7.444635950293474"
"genial-meadow-21","att_vec_linear","obd","7.54866329341832"
"wobbly-vortex-27","att_src_linear","obd","7.456379789460228"
"legendary-water-25","dropout","obd","7.444635950293474"
"wobbly-moon-22","pred","obd","13.141334141080794"
"winter-shape-9","decoder_lstm","obd","8.198568901333275"
"volcanic-resonance-16","decoder_cell_init","obd","7.478446582053274"
"treasured-sun-13","encoder_lstm","obd","8.713368506820197"
"ethereal-gorge-12","tgt_embed","obd","8.26948265925542"
"whole-dream-7","src_embed","obd","10.492285917507724"
