"Name","model_name","percentage","bleu"
"revived-aardvark-16","model3","0.9","0.18573917532296305"
"vivid-voice-15","model2","0.9","0.18467522611672732"
"good-dust-14","model3","0.8","0.2407591774824967"
"faithful-sponge-13","model2","0.8","0.24101706077867965"
"vocal-leaf-12","model3","0.7","0.25760892290305565"
"worldly-universe-11","model2","0.7","0.2617458991192373"
"grateful-eon-10","model3","0.6","0.26855777446731055"
"jumping-durian-9","model2","0.6","0.2674673121823339"
"faithful-cloud-8","model3","0.5","0.27173475261571817"
"curious-sky-7","model2","0.5","0.2722559126880864"
"azure-oath-6","model0","0.9","0.18655396990903428"
"proud-energy-5","model0","0.8","0.24123685093611785"
"clean-gorge-4","model0","0.7","0.2604013560231191"
"mild-cherry-3","model0","0.6","0.26562703465149"
"eternal-butterfly-2","model0","0.5","0.2677930440643924"
