"Name","percentage","bleu"
"comic-haze-13","0.5","0.2631772272638697"
"effortless-durian-15","0.6","0.2614554757282592"
"devoted-sea-17","0.7","0.2488693013558004"
"likely-rain-19","0.8","0.22905448866114145"
"resilient-forest-21","0.9","0.17616082023037116"
"visionary-monkey-14","0.91","0.15414656909646993"
"flowing-wood-16","0.93","0.12581003051619802"
"jumping-lion-18","0.95","0.08017138563506128"
"treasured-capybara-20","0.97","0.04724843718134869"
"dandy-dragon-23","0.995","0.0038076988989944978"
"sage-universe-22","0.99","0.0031515132334835085"
