"Name","model_name","percentage","bleu"
"tough-water-39","model3","0.9","0.2524702508140618"
"fiery-grass-38","model3","0.8","0.2701168252650958"
"bumbling-cherry-37","model3","0.7","0.2735489038946975"
"electric-breeze-36","model3","0.6","0.27523254038570555"
"bright-plasma-35","model3","0.5","0.27598595526769537"
"solar-water-34","model0","0.9","0.2548699772906961"
"glamorous-pond-33","model2","0.9","0.2533691370532867"
"icy-rain-32","model0","0.8","0.2690026034540583"
"blooming-mountain-31","model2","0.8","0.27207475399043896"
"fallen-wildflower-30","model0","0.7","0.27560379943609314"
"devoted-hill-29","model2","0.7","0.27641576532492584"
"clear-armadillo-28","model0","0.6","0.27730589608447037"
"spring-yogurt-27","model2","0.6","0.2758175696481402"
"absurd-snowflake-26","model0","0.5","0.2780485896099357"
"light-paper-25","model2","0.5","0.27764733810291226"
